index,time_seconds,latitude,longitude,rel_alt,abs_alt
433,14.412,32.10461,35.205427,117.4,802.441
434,14.446,32.10461,35.205427,117.4,802.441
435,14.479,32.104618,35.205431,117.4,802.441
436,14.513,32.104618,35.205431,117.4,802.441
437,14.546,32.104618,35.205431,117.4,802.441
438,14.579,32.104627,35.205434,117.4,802.441
439,14.613,32.104627,35.205434,117.4,802.441
440,14.646,32.104627,35.205434,117.4,802.441
441,14.679,32.104635,35.205437,117.4,802.441
442,14.713,32.104635,35.205437,117.4,802.441
443,14.746,32.104635,35.205437,117.4,802.441
444,14.779,32.104644,35.20544,117.4,802.441
445,14.813,32.104644,35.20544,117.4,802.441
446,14.846,32.104644,35.20544,117.4,802.441
447,14.88,32.104652,35.205443,117.4,802.441
448,14.913,32.104652,35.205443,117.4,802.441
449,14.946,32.104652,35.205443,117.4,802.441
450,14.98,32.10466,35.205445,117.4,802.441
451,15.013,32.10466,35.205445,117.4,802.441
452,15.046,32.10466,35.205445,117.4,802.441
453,15.08,32.104668,35.205447,117.4,802.441
454,15.113,32.104668,35.205447,117.4,802.441
455,15.146,32.104668,35.205447,117.4,802.441
456,15.18,32.104676,35.205449,117.4,802.441
457,15.213,32.104676,35.205449,117.4,802.441
458,15.247,32.104676,35.205449,117.4,802.441
459,15.28,32.104684,35.205451,117.4,802.441
460,15.313,32.104684,35.205451,117.4,802.441
461,15.347,32.104684,35.205451,117.4,802.441
462,15.38,32.104693,35.205452,117.4,802.441
463,15.413,32.104693,35.205452,117.4,802.441
464,15.447,32.104693,35.205452,117.4,802.441
465,15.48,32.104701,35.205453,117.3,802.341
466,15.513,32.104701,35.205453,117.3,802.341
467,15.547,32.104701,35.205453,117.3,802.341
468,15.58,32.10471,35.205454,117.3,802.341
469,15.614,32.10471,35.205454,117.3,802.341
470,15.647,32.10471,35.205454,117.3,802.341
471,15.68,32.104718,35.205455,117.3,802.341
472,15.714,32.104718,35.205455,117.3,802.341
473,15.747,32.104718,35.205455,117.3,802.341
474,15.78,32.104727,35.205455,117.4,802.441
475,15.814,32.104727,35.205455,117.4,802.441
476,15.847,32.104727,35.205455,117.4,802.441
477,15.88,32.104735,35.205456,117.4,802.441
478,15.914,32.104735,35.205456,117.4,802.441
479,15.947,32.104735,35.205456,117.4,802.441
480,15.981,32.104744,35.205457,117.4,802.441
481,16.014,32.104744,35.205457,117.4,802.441
482,16.047,32.104744,35.205457,117.4,802.441
483,16.081,32.104752,35.205457,117.4,802.441
484,16.114,32.104752,35.205457,117.4,802.441
485,16.147,32.104752,35.205457,117.4,802.441
486,16.181,32.104761,35.205458,117.4,802.441
487,16.214,32.104761,35.205458,117.4,802.441
488,16.247,32.104761,35.205458,117.4,802.441
489,16.281,32.104769,35.205459,117.4,802.441
490,16.314,32.104769,35.205459,117.4,802.441
491,16.348,32.104769,35.205459,117.4,802.441
492,16.381,32.104778,35.20546,117.4,802.441
493,16.414,32.104778,35.20546,117.4,802.441
494,16.448,32.104778,35.20546,117.4,802.441
495,16.481,32.104787,35.20546,117.4,802.441
496,16.514,32.104787,35.20546,117.4,802.441
497,16.548000000000002,32.104787,35.20546,117.4,802.441
498,16.581,32.104796,35.205461,117.4,802.441
499,16.614,32.104796,35.205461,117.4,802.441
500,16.648,32.104796,35.205461,117.4,802.441
501,16.681,32.104804,35.205461,117.4,802.441
502,16.714,32.104804,35.205461,117.4,802.441
503,16.748,32.104804,35.205461,117.4,802.441
504,16.781,32.104813,35.205461,117.4,802.441
505,16.815,32.104813,35.205461,117.4,802.441
506,16.848,32.104813,35.205461,117.4,802.441
507,16.881,32.104821,35.205462,117.4,802.441
508,16.915,32.104821,35.205462,117.4,802.441
509,16.948,32.104821,35.205462,117.4,802.441
510,16.981,32.10483,35.205462,117.4,802.441
511,17.015,32.10483,35.205462,117.4,802.441
512,17.048,32.10483,35.205462,117.4,802.441
513,17.081,32.104838,35.205462,117.4,802.441
514,17.115,32.104838,35.205462,117.4,802.441
515,17.148,32.104838,35.205462,117.4,802.441
516,17.182,32.104847,35.205462,117.4,802.441
517,17.215,32.104847,35.205462,117.4,802.441
518,17.248,32.104847,35.205462,117.4,802.441
519,17.282,32.104856,35.205462,117.4,802.441
520,17.315,32.104856,35.205462,117.4,802.441
521,17.348,32.104856,35.205462,117.4,802.441
522,17.382,32.104865,35.205462,117.4,802.441
523,17.415,32.104865,35.205462,117.4,802.441
524,17.448,32.104865,35.205462,117.4,802.441
525,17.482,32.104873,35.205462,117.4,802.441
526,17.515,32.104873,35.205462,117.4,802.441
527,17.549,32.104873,35.205462,117.4,802.441
528,17.582,32.104882,35.205462,117.4,802.441
529,17.615,32.104882,35.205462,117.4,802.441
530,17.649,32.104882,35.205462,117.4,802.441
531,17.682,32.10489,35.205462,117.4,802.441
532,17.715,32.10489,35.205462,117.4,802.441
533,17.749,32.10489,35.205462,117.4,802.441
534,17.782,32.104899,35.205462,117.4,802.441
